,energy_RS,energy_ZB,energy_diff,min_struc_type,Z(A),Z(B),period(A),period(B),IP(A),IP(B),EA(A),EA(B),E_HOMO(A),E_HOMO(B),E_LUMO(A),E_LUMO(B),r_s(A),r_s(B),r_p(A),r_p(B),r_d(A),r_d(B)
AgBr,-108781.33395857112,-108781.30392515441,-0.03003341671137605,RS,47.0,35.0,5.0,4.0,-8.0580997467,-12.649600029,-1.6665999889399998,-3.73930001259,-4.71000003815,-8.001000404360001,-0.47900000214599997,0.7080000042919999,1.32000005245,0.75,1.87999999523,0.879999995232,2.97000002861,1.87000000477
AgCl,-79397.45108274152,-79397.40828546332,-0.04279727820539847,RS,47.0,17.0,5.0,3.0,-8.0580997467,-13.9018001556,-1.6665999889399998,-3.9707999229400004,-4.71000003815,-8.699999809269999,-0.47900000214599997,0.574000000954,1.32000005245,0.6800000071529999,1.87999999523,0.7599999904629999,2.97000002861,1.6699999570800002
AgF,-74477.4281651636,-74477.27440749042,-0.15375767317891587,RS,47.0,9.0,5.0,2.0,-8.0580997467,-19.4043006897,-1.6665999889399998,-4.27349996567,-4.71000003815,-11.2939996719,-0.47900000214599997,1.25100004673,1.32000005245,0.409999996424,1.87999999523,0.37000000476800005,2.97000002861,1.42999994755
AgI,-171339.20818144767,-171339.2451068673,0.036925419641193,ZB,47.0,53.0,5.0,5.0,-8.0580997467,-11.2571001053,-1.6665999889399998,-3.5134999752,-4.71000003815,-7.2360000610399995,-0.47900000214599997,0.212999999523,1.32000005245,0.899999976158,1.87999999523,1.07000005245,2.97000002861,1.7200000286099997
AlAs,-34200.07751274624,-34200.29077459535,0.21326184910867596,ZB,13.0,33.0,3.0,4.0,-5.78049993515,-9.26189994812,-0.3125,-1.8392000198400003,-2.7839999198900003,-5.34100008011,0.6949999928470001,0.0640000030398,1.09000003338,0.850000023842,1.38999998569,1.03999996185,1.94000005722,2.0199999809299998
AlN,-4036.4290485037673,-4036.501997576937,0.07294907316963872,ZB,13.0,7.0,3.0,2.0,-5.78049993515,-13.5852003098,-0.3125,-1.86749994755,-2.7839999198900003,-7.2389998436,0.6949999928470001,3.0569999218,1.09000003338,0.540000021458,1.38999998569,0.509999990463,1.94000005722,1.53999996185
AlP,-7940.862745223371,-7941.081703564847,0.2189583414756271,ZB,13.0,15.0,3.0,3.0,-5.78049993515,-9.75059986115,-0.3125,-1.9199999570800002,-2.7839999198900003,-5.59600019455,0.6949999928470001,0.18299999833099997,1.09000003338,0.829999983311,1.38999998569,0.97000002861,1.94000005722,1.76999998093
AlSb,-92644.19200438487,-92644.34887311883,0.15686873396043666,ZB,13.0,51.0,3.0,5.0,-5.78049993515,-8.46829986572,-0.3125,-1.84669995308,-2.7839999198900003,-4.99100017548,0.6949999928470001,0.104999996722,1.09000003338,1.0,1.38999998569,1.23000001907,1.94000005722,2.0599999427799998
AsGa,-57457.67995787478,-57457.9542356472,0.2742777724197367,ZB,31.0,33.0,4.0,4.0,-5.81820011139,-9.26189994812,-0.10809999704399999,-1.8392000198400003,-2.73200011253,-5.34100008011,0.129999995232,0.0640000030398,0.9900000095370001,0.850000023842,1.33000004292,1.03999996185,2.16000008583,2.0199999809299998
BAs,-31239.347344138314,-31240.22232232208,0.8749781837650517,ZB,5.0,33.0,2.0,4.0,-8.18999958038,-9.26189994812,-0.107400000095,-1.8392000198400003,-3.71499991417,-5.34100008011,2.24799990654,0.0640000030398,0.8100000023839999,0.850000023842,0.829999983311,1.03999996185,1.9500000476800001,2.0199999809299998
